rowid,category,subcategory,productname,sales,quantity,discount,profit,orderdate,state
4078,Office Supplies,Fasteners,Bagged Rubber Bands,5.04,4,0,0.2016,Jun-16,New York
4508,Office Supplies,Storage,Tennsco Commercial Shelving,20.34,1,0,0.2034,Jun-16,New York
228,Office Supplies,Storage,Rogers Deluxe File Chest,21.98,1,0,0.2198,Sep-16,Virginia
2910,Office Supplies,Fasteners,Rubber Band Ball,11.22,3,0,0.2244,Jun-16,New York
3196,Office Supplies,Fasteners,"Alliance Super-Size Bands, Assorted Sizes",23.34,3,0,0.2334,Jun-16,Alabama
1066,Office Supplies,Fasteners,Assorted Color Push Pins,1.448,1,0.2,0.2353,Apr-16,Alabama
2548,Office Supplies,Art,Newell 346,2.304,1,0.2,0.2592,Sep-16,Texas
8523,Technology,Phones,Cyber Acoustics AC-202b Speech Recognition Stereo Headset,12.99,1,0,0.2598,Sep-16,California
4108,Office Supplies,Storage,Eldon Shelf Savers Cubes and Bins,13.96,2,0,0.2792,Sep-16,California
203,Office Supplies,Appliances,"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",2.6,1,0.2,0.2925,Sep-16,California
5703,Office Supplies,Art,Newell 35,2.624,1,0.2,0.2952,Aug-16,Minnesota
4844,Office Supplies,Fasteners,Rubber Band Ball,14.96,4,0,0.2992,Aug-16,Illinois
8274,Office Supplies,Art,Newell 320,3.424,1,0.2,0.2996,Aug-16,Illinois
6218,Technology,Phones,Mediabridge Sport Armband iPhone 5s,29.97,3,0,0.2997,Dec-16,Illinois
7389,Technology,Phones,Mediabridge Sport Armband iPhone 5s,29.97,3,0,0.2997,Nov-16,Minnesota
268,Office Supplies,Fasteners,Bagged Rubber Bands,7.56,6,0,0.3024,Nov-16,Iowa
7748,Office Supplies,Fasteners,Bagged Rubber Bands,7.56,6,0,0.3024,Jun-16,Iowa
2370,Office Supplies,Art,"Dixon Ticonderoga Maple Cedar Pencil, #2",4.912,2,0.2,0.307,Jun-16,Delaware
8776,Office Supplies,Art,Newell 311,3.536,2,0.2,0.3094,Jun-16,Delaware
7480,Office Supplies,Fasteners,"Alliance Super-Size Bands, Assorted Sizes",31.12,4,0,0.3112,Jun-16,Delaware
3579,Office Supplies,Storage,Akro Stacking Bins,7.89,1,0,0.3156,Jun-16,Delaware
7806,Office Supplies,Art,Newell 310,2.816,2,0.2,0.3168,Nov-16,Delaware
3959,Office Supplies,Art,Newell 333,4.448,2,0.2,0.3336,Nov-16,California
5101,Office Supplies,Art,Newell 333,4.448,2,0.2,0.3336,Oct-16,California
7072,Office Supplies,Art,Newell 339,4.448,2,0.2,0.3336,Oct-16,California
9819,Office Supplies,Art,Newell 344,4.448,2,0.2,0.3336,Oct-16,California
5551,Office Supplies,Art,Avery Fluorescent Highlighter Four-Color Set,2.672,1,0.2,0.334,Oct-16,California
5293,Office Supplies,Storage,Plastic Stacking Crates & Casters,4.464,1,0.2,0.3348,Oct-16,California
6027,Office Supplies,Fasteners,Alliance Rubber Bands,8.4,5,0,0.336,Oct-16,California
7755,Office Supplies,Art,"OIC #2 Pencils, Medium Soft",3.008,2,0.2,0.3384,Oct-16,California
9457,Technology,Accessories,Sony 8GB Class 10 Micro SDHC R40 Memory Card,27.192,3,0.2,0.3399,Sep-16,California
4065,Office Supplies,Supplies,Acme Kleen Earth Office Shears,3.104,1,0.2,0.3492,Dec-16,Pennsylvania
1527,Office Supplies,Art,12 Colored Short Pencils,4.16,2,0.2,0.364,Dec-16,Wisconsin
3592,Office Supplies,Supplies,Acme Value Line Scissors,2.92,1,0.2,0.365,Dec-16,Wisconsin
3544,Office Supplies,Art,"Eldon Spacemaker Box, Quick-Snap Lid, Clear",2.672,1,0.2,0.3674,Dec-16,Wisconsin
2918,Office Supplies,Art,"Eberhard Faber 3 1/2"" Golf Pencils",5.952,1,0.2,0.372,Mar-16,Wisconsin
1737,Office Supplies,Art,Newell 322,4.368,3,0.2,0.3822,Mar-16,Arizona
3885,Office Supplies,Art,Newell 322,4.368,3,0.2,0.3822,Nov-16,Arizona
2094,Office Supplies,Supplies,Martin-Yale Premier Letter Opener,12.88,1,0,0.3864,Nov-16,Oklahoma
9363,Office Supplies,Fasteners,"Super Bands, 12/Pack",13.02,7,0,0.3906,May-16,Oklahoma
5484,Office Supplies,Storage,Tennsco Commercial Shelving,40.68,2,0,0.4068,Nov-16,California
8234,Office Supplies,Storage,Tennsco Commercial Shelving,40.68,2,0,0.4068,Nov-16,New Mexico
1536,Office Supplies,Storage,"Rogers Jumbo File, Granite",40.74,3,0,0.4074,Nov-16,Washington
3537,Office Supplies,Storage,"Rogers Jumbo File, Granite",40.74,3,0,0.4074,Jul-16,Connecticut
7380,Office Supplies,Storage,"Rogers Jumbo File, Granite",40.74,3,0,0.4074,Jul-16,Texas
9945,Office Supplies,Storage,"Rogers Jumbo File, Granite",40.74,3,0,0.4074,Oct-16,Texas
2197,Office Supplies,Art,Newell 343,4.704,2,0.2,0.4116,Oct-16,California
8235,Office Supplies,Supplies,Kleencut Forged Office Shears by Acme United Corporation,3.328,2,0.2,0.416,Jun-16,California
4801,Office Supplies,Art,Dixon Ticonderoga Pencils,4.768,2,0.2,0.4172,Jun-16,Illinois
4301,Furniture,Furnishings,"Eldon Regeneration Recycled Desk Accessories, Smoke",2.784,2,0.2,0.4176,Jun-16,Illinois
389,Office Supplies,Art,Crayola Colored Pencils,2.624,1,0.2,0.4264,Jun-16,Illinois
3596,Office Supplies,Art,Crayola Colored Pencils,2.624,1,0.2,0.4264,Jun-16,Illinois
8208,Office Supplies,Art,Crayola Colored Pencils,2.624,1,0.2,0.4264,Jun-16,Illinois
2762,Technology,Accessories,Maxell 4.7GB DVD-R 5/Pack,0.99,1,0,0.4356,Jun-16,Illinois
1150,Technology,Phones,Shocksock Galaxy S4 Armband,10.95,1,0,0.438,Dec-16,Illinois
1726,Office Supplies,Appliances,Hoover Replacement Belt for Commercial Guardsman Heavy-Duty Upright Vacuum,3.552,2,0.2,0.444,Sep-16,California
8704,Office Supplies,Appliances,Hoover Replacement Belt for Commercial Guardsman Heavy-Duty Upright Vacuum,3.552,2,0.2,0.444,Sep-16,California
7598,Office Supplies,Art,Newell 313,5.248,2,0.2,0.4592,Dec-16,California
6506,Office Supplies,Art,Newell 311,5.304,3,0.2,0.4641,Dec-16,New York
4878,Office Supplies,Art,DIXON Oriole Pencils,6.192,3,0.2,0.4644,Jun-16,New York
7118,Office Supplies,Binders,Computer Printout Index Tabs,1.344,1,0.2,0.4704,Jan-16,Illinois
1974,Office Supplies,Fasteners,Assorted Color Push Pins,2.896,2,0.2,0.4706,Dec-16,New Jersey
2227,Office Supplies,Fasteners,Assorted Color Push Pins,2.896,2,0.2,0.4706,Dec-16,Florida
2807,Office Supplies,Fasteners,Plymouth Boxed Rubber Bands by Plymouth,9.42,2,0,0.471,Dec-16,Florida
9622,Technology,Accessories,Maxell CD-R Discs,3.152,2,0.2,0.4728,Nov-16,Florida
2009,Office Supplies,Art,Newell 310,4.224,3,0.2,0.4752,Nov-16,Ohio
4787,Office Supplies,Art,Newell 326,4.224,3,0.2,0.4752,Nov-16,Ohio
7901,Technology,Accessories,Maxell 4.7GB DVD-R 5/Pack,1.584,2,0.2,0.4752,Nov-16,Ohio
8590,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",4.768,2,0.2,0.4768,Oct-16,Ohio
4006,Office Supplies,Art,Staples in misc. colors,1.78,1,0,0.4984,Oct-16,New Jersey
7182,Technology,Accessories,Micro Innovations USB RF Wireless Keyboard with Mouse,40,2,0.2,0.5,Oct-16,New Jersey
429,Office Supplies,Art,Design Ebony Sketching Pencil,6.672,6,0.2,0.5004,Oct-16,New Jersey
1599,Office Supplies,Supplies,Acme Elite Stainless Steel Scissors,6.672,1,0.2,0.5004,Oct-16,New Jersey
1256,Furniture,Furnishings,Westinghouse Clip-On Gooseneck Lamps,6.696,1,0.2,0.5022,Sep-16,New Jersey
2214,Office Supplies,Binders,Wilson Jones Easy Flow II Sheet Lifters,1.44,1,0.2,0.504,Sep-16,Colorado
3767,Office Supplies,Art,Prang Dustless Chalk Sticks,1.344,1,0.2,0.504,Sep-16,Colorado
9383,Office Supplies,Art,Prang Dustless Chalk Sticks,1.344,1,0.2,0.504,Sep-16,Colorado
7709,Technology,Accessories,"Memorex 25GB 6X Branded Blu-Ray Recordable Disc, 15/Pack",40.776,3,0.2,0.5097,Apr-16,Colorado
7716,Technology,Accessories,"Memorex 25GB 6X Branded Blu-Ray Recordable Disc, 15/Pack",40.776,3,0.2,0.5097,Apr-16,California
7021,Office Supplies,Supplies,Acme Titanium Bonded Scissors,6.8,1,0.2,0.51,Aug-16,California
8003,Office Supplies,Supplies,Staple remover,25.76,7,0,0.5152,Aug-16,Pennsylvania
1529,Office Supplies,Fasteners,Rubber Band Ball,26.18,7,0,0.5236,Aug-16,Pennsylvania
2558,Office Supplies,Appliances,"Eureka Sanitaire  Multi-Pro Heavy-Duty Upright, Disposable Bags",6.992,2,0.2,0.5244,Aug-16,Pennsylvania
2627,Technology,Phones,i.Sound Portable Power - 8000 mAh,52.99,1,0,0.5299,Aug-16,Pennsylvania
4297,Office Supplies,Storage,"Rogers Jumbo File, Granite",54.32,4,0,0.5432,Apr-16,Pennsylvania
1750,Office Supplies,Art,12 Colored Short Pencils,6.24,3,0.2,0.546,Apr-16,Pennsylvania
5343,Office Supplies,Envelopes,Poly String Tie Envelopes,1.632,1,0.2,0.5508,Apr-16,Pennsylvania
7287,Technology,Accessories,Imation 30456 USB Flash Drive 8GB,6.9,1,0,0.552,Sep-16,Pennsylvania
7763,Office Supplies,Art,Prang Drawing Pencil Set,2.224,1,0.2,0.556,Sep-16,New York
2823,Office Supplies,Art,Newell 314,8.928,2,0.2,0.558,Sep-16,New York
4455,Office Supplies,Storage,Eldon Shelf Savers Cubes and Bins,27.92,4,0,0.5584,Sep-16,New York
4557,Office Supplies,Storage,Eldon Shelf Savers Cubes and Bins,27.92,4,0,0.5584,Sep-16,New York
6454,Office Supplies,Art,"Binney & Smith inkTank Desk Highlighter, Chisel Tip, Yellow, 12/Box",3.44,2,0.2,0.559,Apr-16,New York
9556,Office Supplies,Fasteners,Staples,3.008,2,0.2,0.564,Apr-16,New York
6073,Office Supplies,Fasteners,Stockwell Push Pins,3.488,2,0.2,0.5668,Apr-16,New York
8315,Office Supplies,Fasteners,Stockwell Push Pins,3.488,2,0.2,0.5668,Apr-16,New York
9242,Office Supplies,Art,Rogers Handheld Barrel Pencil Sharpener,6.576,3,0.2,0.5754,Apr-16,New York
5207,Office Supplies,Fasteners,"OIC Binder Clips, Mini, 1/4"" Capacity, Black",1.24,1,0,0.5828,Oct-16,North Carolina
5868,Office Supplies,Art,Newell 312,4.672,1,0.2,0.584,Oct-16,Connecticut
6477,Office Supplies,Appliances,"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",5.2,2,0.2,0.585,Oct-16,Connecticut
864,Office Supplies,Art,Newell 337,5.248,2,0.2,0.5904,Oct-16,Connecticut
1254,Office Supplies,Art,Newell 337,5.248,2,0.2,0.5904,Sep-16,Connecticut
1437,Office Supplies,Art,Newell 35,5.248,2,0.2,0.5904,Oct-16,Illinois
1979,Office Supplies,Art,Newell 321,5.248,2,0.2,0.5904,Oct-16,California
4700,Office Supplies,Art,Newell 348,5.248,2,0.2,0.5904,Sep-16,California
6398,Office Supplies,Art,Newell 350,5.248,2,0.2,0.5904,Sep-16,Texas
7593,Office Supplies,Art,Newell 329,7.872,3,0.2,0.5904,Sep-16,Texas
5782,Office Supplies,Art,Newell 311,2.21,1,0,0.5967,Sep-16,Texas
1472,Office Supplies,Art,Newell 320,6.848,2,0.2,0.5992,Apr-16,Texas
4009,Office Supplies,Art,Newell 320,6.848,2,0.2,0.5992,Apr-16,California
489,Technology,Phones,Square Credit Card Reader,7.992,1,0.2,0.5994,Apr-16,North Carolina
785,Technology,Accessories,Microsoft Natural Ergonomic Keyboard 4000,47.984,2,0.2,0.5998,Apr-16,North Carolina
3177,Technology,Accessories,Belkin F8E887 USB Wired Ergonomic Keyboard,47.984,2,0.2,0.5998,Apr-16,North Carolina
4157,Technology,Accessories,Belkin F8E887 USB Wired Ergonomic Keyboard,47.984,2,0.2,0.5998,Jun-16,North Carolina
1225,Office Supplies,Binders,Peel & Stick Add-On Corner Pockets,1.728,1,0.2,0.6048,Jun-16,Massachusetts
7519,Office Supplies,Storage,Eldon Gobal File Keepers,15.14,1,0,0.6056,Jun-16,Illinois
7373,Office Supplies,Storage,Tennsco Commercial Shelving,61.02,3,0,0.6102,Sep-16,Illinois
4872,Office Supplies,Fasteners,OIC Thumb-Tacks,1.824,2,0.2,0.6156,Sep-16,Michigan
3561,Office Supplies,Art,DIXON Oriole Pencils,8.256,4,0.2,0.6192,Sep-16,Michigan
4855,Office Supplies,Storage,Woodgrain Magazine Files by Perma,8.94,3,0,0.6258,Sep-16,Michigan
5359,Office Supplies,Storage,Akro Stacking Bins,15.78,2,0,0.6312,Sep-16,Michigan
1971,Office Supplies,Art,Blackstonian Pencils,6.408,3,0.2,0.6408,Sep-16,Michigan
2998,Furniture,Furnishings,Stacking Trays by OIC,3.984,1,0.2,0.6474,Apr-16,Michigan
3416,Office Supplies,Fasteners,Colored Push Pins,1.81,1,0,0.6516,Apr-16,New York
5527,Office Supplies,Fasteners,Colored Push Pins,1.81,1,0,0.6516,Apr-16,New York
6449,Office Supplies,Storage,Crate-A-Files,8.72,1,0.2,0.654,Apr-16,New York
5503,Furniture,Furnishings,Eldon Image Series Black Desk Accessories,3.312,1,0.2,0.6624,Apr-16,New York
8451,Office Supplies,Appliances,Hoover Replacement Belt for Commercial Guardsman Heavy-Duty Upright Vacuum,2.22,1,0,0.666,Apr-16,New York
5434,Office Supplies,Art,Newell 318,8.896,4,0.2,0.6672,Dec-16,New York
9751,Office Supplies,Art,Avery Fluorescent Highlighter Four-Color Set,5.344,2,0.2,0.668,Sep-16,Oklahoma
2766,Office Supplies,Storage,Plastic Stacking Crates & Casters,8.928,2,0.2,0.6696,Sep-16,Illinois
3770,Office Supplies,Fasteners,"OIC Binder Clips, Mini, 1/4"" Capacity, Black",1.984,2,0.2,0.6696,Apr-16,Illinois
4189,Office Supplies,Storage,Plastic Stacking Crates & Casters,8.928,2,0.2,0.6696,Apr-16,Arizona
6086,Office Supplies,Labels,Avery 494,2.088,1,0.2,0.6786,Apr-16,Arizona
6844,Office Supplies,Storage,"Rogers Jumbo File, Granite",67.9,5,0,0.679,Apr-16,Arizona
4548,Office Supplies,Art,Newell 32,6.912,3,0.2,0.6912,Apr-16,Arizona
1184,Technology,Phones,Sannysis Cute Owl Design Soft Skin Case Cover for Samsung Galaxy S4,7.92,5,0.2,0.693,Dec-16,Arizona
2954,Technology,Phones,Cush Cases Heavy Duty Rugged Cover Case for Samsung Galaxy S5 - Purple,7.92,2,0.2,0.693,Jul-16,Illinois
7064,Office Supplies,Supplies,Acme Kleen Earth Office Shears,6.208,2,0.2,0.6984,Oct-16,California
1809,Technology,Phones,Mediabridge Sport Armband iPhone 5s,69.93,7,0,0.6993,Jun-16,New York
6411,Technology,Phones,PayAnywhere Card Reader,7.992,1,0.2,0.6993,Jun-16,New York
4238,Office Supplies,Art,Newell 323,9.408,7,0.2,0.7056,May-16,New York
7310,Office Supplies,Fasteners,Plymouth Boxed Rubber Bands by Plymouth,14.13,3,0,0.7065,Mar-16,Washington
8727,Technology,Accessories,Maxell CD-R Discs,4.728,3,0.2,0.7092,Jul-16,Tennessee
8634,Office Supplies,Appliances,"Hoover Replacement Belts For Soft Guard & Commercial Ltweight Upright Vacs, 2/Pk",9.48,3,0.2,0.711,Jul-16,California
6568,Office Supplies,Art,Staples in misc. colors,7.12,5,0.2,0.712,Jul-16,California
513,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",7.152,3,0.2,0.7152,Jul-16,California
7768,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",7.152,3,0.2,0.7152,May-16,California
402,Technology,Accessories,Sony 64GB Class 10 Micro SDHC R40 Memory Card,57.584,2,0.2,0.7198,May-16,Colorado
1232,Office Supplies,Art,Design Ebony Sketching Pencil,2.78,2,0,0.7228,May-16,Colorado
1562,Office Supplies,Art,Newell 333,2.78,1,0,0.7228,May-16,Colorado
9248,Office Supplies,Art,Newell 333,2.78,1,0,0.7228,May-16,Colorado
602,Office Supplies,Supplies,Acme Value Line Scissors,5.84,2,0.2,0.73,Oct-16,Colorado
3419,Office Supplies,Supplies,Acme Value Line Scissors,5.84,2,0.2,0.73,May-16,Ohio
5455,Office Supplies,Storage,Sterilite Officeware Hinged File Box,8.384,1,0.2,0.7336,May-16,California
1994,Office Supplies,Art,"Eldon Spacemaker Box, Quick-Snap Lid, Clear",5.344,2,0.2,0.7348,May-16,California
8765,Office Supplies,Art,"Eldon Spacemaker Box, Quick-Snap Lid, Clear",5.344,2,0.2,0.7348,May-16,Alabama
4246,Office Supplies,Art,BIC Brite Liner Grip Highlighters,1.64,1,0,0.738,Jul-16,Alabama
2635,Furniture,Furnishings,Stackable Trays,4.928,2,0.2,0.7392,Jul-16,Arizona
8298,Furniture,Furnishings,Stackable Trays,4.928,2,0.2,0.7392,Apr-16,Arizona
507,Office Supplies,Art,Rogers Handheld Barrel Pencil Sharpener,2.74,1,0,0.7398,Jun-16,California
2780,Technology,Accessories,Maxell 4.7GB DVD+R 5/Pack,2.376,3,0.2,0.7425,Jun-16,California
9164,Technology,Accessories,Maxell 4.7GB DVD+R 5/Pack,2.376,3,0.2,0.7425,Jun-16,California
2676,Office Supplies,Art,Pencil and Crayon Sharpener,8.76,5,0.2,0.7665,Nov-16,California
5456,Office Supplies,Art,Newell 341,6.848,2,0.2,0.7704,Mar-16,Washington
7001,Office Supplies,Supplies,Martin-Yale Premier Letter Opener,25.76,2,0,0.7728,Mar-16,Oregon
388,Furniture,Furnishings,3M Hangers With Command Adhesive,2.96,1,0.2,0.777,Mar-16,Oregon
5200,Office Supplies,Fasteners,"Acco Banker's Clasps, 5 3/4""-Long",2.304,1,0.2,0.7776,Mar-16,Oregon
2989,Technology,Accessories,SanDisk Ultra 16 GB MicroSDHC Class 10 Memory Card,12.99,1,0,0.7794,Jul-16,Oregon
3527,Technology,Phones,Cyber Acoustics AC-202b Speech Recognition Stereo Headset,38.97,3,0,0.7794,Jul-16,Pennsylvania
7108,Technology,Phones,Gear Head AU3700S Headset,25.98,2,0,0.7794,Jul-16,Pennsylvania
5055,Office Supplies,Art,Newell 317,7.056,3,0.2,0.7938,Jul-16,Pennsylvania
5654,Office Supplies,Art,Newell 343,2.94,1,0,0.7938,Apr-16,Pennsylvania
982,Office Supplies,Art,"BIC Brite Liner Grip Highlighters, Assorted, 5/Pack",3.392,1,0.2,0.8056,Apr-16,Texas
1532,Office Supplies,Storage,"Neat Ideas Personal Hanging Folder Files, Black",10.744,1,0.2,0.8058,Sep-16,Texas
8400,Office Supplies,Storage,"Neat Ideas Personal Hanging Folder Files, Black",10.744,1,0.2,0.8058,Sep-16,Pennsylvania
9504,Office Supplies,Art,Newell 32,2.88,1,0,0.8064,Dec-16,Pennsylvania
699,Office Supplies,Art,"Binney & Smith Crayola Metallic Crayons, 16-Color Pack",2.696,1,0.2,0.8088,Dec-16,Colorado
4514,Office Supplies,Storage,"Tenex Personal Project File with Scoop Front Design, Black",10.784,1,0.2,0.8088,Dec-16,Colorado
2034,Office Supplies,Art,"Hunt BOSTON Vista Battery-Operated Pencil Sharpener, Black",9.328,1,0.2,0.8162,Aug-16,Colorado
4849,Office Supplies,Art,"Hunt BOSTON Vista Battery-Operated Pencil Sharpener, Black",9.328,1,0.2,0.8162,Aug-16,Colorado
2373,Office Supplies,Fasteners,Acco Hot Clips Clips to Go,2.632,1,0.2,0.8225,May-16,Colorado
3836,Office Supplies,Fasteners,Binder Clips by OIC,2.368,2,0.2,0.8288,May-16,California
3899,Office Supplies,Fasteners,Binder Clips by OIC,2.368,2,0.2,0.8288,Dec-16,California
9002,Technology,Accessories,Kingston Digital DataTraveler 8GB USB 2.0,5.95,1,0,0.833,Apr-16,Minnesota
2053,Office Supplies,Art,Newell 333,11.12,5,0.2,0.834,Apr-16,Arizona
5058,Office Supplies,Storage,Eldon Shelf Savers Cubes and Bins,41.88,6,0,0.8376,Dec-16,Arizona
7877,Office Supplies,Appliances,Belkin 7-Outlet SurgeMaster Home Series,11.176,1,0.2,0.8382,Dec-16,Washington
3455,Office Supplies,Art,"Binney & Smith inkTank Desk Highlighter, Chisel Tip, Yellow, 12/Box",5.16,3,0.2,0.8385,Dec-16,Washington
2480,Office Supplies,Supplies,Fiskars Spring-Action Scissors,11.184,1,0.2,0.8388,Oct-16,Washington
62,Office Supplies,Art,Prang Dustless Chalk Sticks,1.68,1,0,0.84,Aug-16,New York
5153,Office Supplies,Binders,Cardinal Poly Pocket Divider Pockets for Ring Binders,2.688,1,0.2,0.84,Aug-16,Ohio
6520,Office Supplies,Binders,Cardinal Poly Pocket Divider Pockets for Ring Binders,2.688,1,0.2,0.84,Aug-16,Ohio
9052,Office Supplies,Art,Newell 308,3.36,2,0,0.84,Sep-16,Ohio
4935,Office Supplies,Fasteners,Staples,4.512,3,0.2,0.846,Sep-16,Illinois
7645,Technology,Accessories,"Memorex 25GB 6X Branded Blu-Ray Recordable Disc, 15/Pack",67.96,5,0.2,0.8495,Mar-16,Illinois
6448,Office Supplies,Labels,Avery 497,2.464,1,0.2,0.8624,Nov-16,New York
3515,Office Supplies,Art,"Sanford Colorific Colored Pencils, 12/Box",6.912,3,0.2,0.864,Nov-16,Kentucky
6919,Office Supplies,Supplies,Stiletto Hand Letter Openers,28.8,3,0,0.864,Nov-16,New York
7485,Office Supplies,Art,Staples in misc. colors,2.48,1,0,0.868,Nov-16,New York
1666,Office Supplies,Fasteners,Colored Push Pins,4.344,3,0.2,0.8688,Nov-16,New York
8218,Office Supplies,Fasteners,Colored Push Pins,4.344,3,0.2,0.8688,Feb-16,Washington
4885,Office Supplies,Art,Newell 323,3.36,2,0,0.8736,Dec-16,California
5987,Office Supplies,Storage,Rogers Deluxe File Chest,87.92,4,0,0.8792,Dec-16,Michigan
6153,Office Supplies,Storage,Rogers Deluxe File Chest,87.92,4,0,0.8792,Jul-16,Michigan
7158,Office Supplies,Storage,Rogers Deluxe File Chest,87.92,4,0,0.8792,Dec-16,Florida
7574,Office Supplies,Art,SANFORD Liquid Accent Tank-Style Highlighters,2.84,1,0,0.8804,Dec-16,New York
2609,Office Supplies,Labels,Avery 520,2.52,1,0.2,0.882,Dec-16,New York
3965,Office Supplies,Art,Newell 348,7.872,3,0.2,0.8856,Dec-16,New York
3966,Office Supplies,Art,Newell 350,7.872,3,0.2,0.8856,Dec-16,New York
7985,Office Supplies,Art,Newell 348,7.872,3,0.2,0.8856,Aug-16,New York
9303,Office Supplies,Art,Newell 348,7.872,3,0.2,0.8856,Aug-16,Texas
7991,Technology,Accessories,Maxell 4.7GB DVD+R 5/Pack,1.98,2,0,0.891,Aug-16,Texas
9546,Technology,Accessories,Maxell 4.7GB DVD+R 5/Pack,1.98,2,0,0.891,Aug-16,Texas
5174,Office Supplies,Art,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",3.408,1,0.2,0.8946,Mar-16,Texas
8576,Office Supplies,Appliances,Hoover Portapower Portable Vacuum,14.336,4,0.2,0.896,Apr-16,Illinois
4325,Office Supplies,Art,Newell 315,14.352,3,0.2,0.897,Sep-16,California
3858,Office Supplies,Art,Newell 320,10.272,3,0.2,0.8988,May-16,Florida
4067,Office Supplies,Art,Newell 320,10.272,3,0.2,0.8988,May-16,Virginia
749,Technology,Phones,Belkin iPhone and iPad Lightning Cable,11.992,1,0.2,0.8994,Aug-16,North Carolina
4326,Technology,Accessories,Belkin F8E887 USB Wired Ergonomic Keyboard,71.976,3,0.2,0.8997,Mar-16,New York
9753,Office Supplies,Binders,Zipper Ring Binder Pockets,2.496,1,0.2,0.9048,Sep-16,Louisiana
2572,Office Supplies,Art,"Crayola Anti Dust Chalk, 12/Pack",2.912,2,0.2,0.91,Jul-16,Pennsylvania
7208,Office Supplies,Art,"Crayola Anti Dust Chalk, 12/Pack",2.912,2,0.2,0.91,Jul-16,Florida
375,Office Supplies,Art,Newell 324,9.24,1,0.2,0.924,Jul-16,Florida
3144,Office Supplies,Art,Newell 311,10.608,6,0.2,0.9282,Mar-16,Florida
8007,Office Supplies,Fasteners,"Alliance Super-Size Bands, Assorted Sizes",93.36,12,0,0.9336,Nov-16,Texas
9234,Office Supplies,Storage,Akro Stacking Bins,23.67,3,0,0.9468,Nov-16,California
4113,Office Supplies,Art,Newell 351,3.28,1,0,0.9512,Nov-16,California
8427,Office Supplies,Supplies,"Acme Design Line 8"" Stainless Steel Bent Scissors w/Champagne Handles, 3-1/8"" Cut",10.944,2,0.2,0.9576,Nov-16,California
9530,Office Supplies,Storage,Iris Project Case,12.768,2,0.2,0.9576,Jun-16,California
9390,Office Supplies,Envelopes,Poly String Tie Envelopes,2.04,1,0,0.9588,Jun-16,California
9402,Furniture,Furnishings,Acrylic Self-Standing Desk Frames,4.272,2,0.2,0.9612,May-16,California
